Name,SMILES,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Acecainide (N-acetylprocainamide),CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1,1.9,4,0.9,7.9,6.4,277.36,5,2,61.4,7,cationic,1.3,-0.26
Acenocoumarol,[H]OC1=C(C(=O)Oc2ccccc12)[C@H](CC(C)=O)c1ccc(cc1)[N+]([O-])=O,0.24,1.28,0.02,3.125,7.22,353.33,7,1,106.7,6,anionic,2.5,0.12
Acetaminophen,CC(=O)Nc1ccc(O)cc1,1,5,0.52,3.3,2.5,151.16,3,2,49.3,1,neutral,0.76,0.76
Acetazolamide,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0.37,0.65,0.04,9.5, ,222.25,7,2,115,2,neutral,-1.5,-1.6
"Acetylcysteine, N-",CC(=O)N[C@@H](CS)C(=O)O,0.55,3.1,0.17,3,5.5,163.19,4,2,66.4,3,anionic,-0.53,-3.8
"Acetylmethadol, L-",CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2,8.3,5.4,0.2,26,18,353.5,3,0,29.5,9,cationic,4.5,3.2
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,0.22,12,0.68,0.3,0.26,180.16,4,1,63.6,3,anionic,1.6,-1.7
ACHT 4-10,CSCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)NCC(=O)O)N,0.73,871,,0.01,0.06,962.09,23,13,384.1,29,zwitterionic,-0.68,-4.5
Acivicin,N[C@@H]([C@@H]1CC(=NO1)Cl)C(=O)O,0.5,0.69,,12,9.9,178.57,5,2,84.9,2,zwitterionic,-0.38,-2.7
Aclidinium bromide,c1ccc(cc1)OCCC[N+]23CCC(CC2)[C@H](C3)OC(=O)C(c4cccs4)(c5cccs5)O,4.3,48.5,,1.76,,484.65,5,1,55.8,10,neutral,1.7,1.7
Actisomide,CC(C)N(CC[C@@]1(C(N=C(C)N2CCCC[C@H]12)=O)c1ccccc1)C(C)C,0.58,6.79,0.7,1.58,1.89,369.54,4,0,35.9,6,cationic,4,2.6
Acyclovir,NC1=Nc2c(ncn2COCCO)C(=O)N1,0.71,4.7,0.85,2.5,2.5,225.2,8,3,114.8,4,neutral,-1.7,-1.8
Adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,0.42,3.7,0.96,1.9,1.6,273.19,9,3,136.4,5,anionic,-1.6,-6.8
Adinazolam,CN(C)Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.98,6.2,0.31,2.6,2.1,351.83,5,0,46.3,3,neutral,1.3,1.3
AFN-1252,Cc1c2ccccc2oc1CN(C)C(=O)/C=C/c3cc4c(nc3)NC(=O)CC4,0.43,0.9,,8.4,6.4,375.42,6,1,75.7,4,neutral,2.1,2.1
AG-EE-388 ZW,C(c1c(cc(cc1)CC(=O)N[C@@H](CC(C)C)c1c(cccc1)N1CCCCC1)OCC)(=O)O,0.28,2.04,,3,2.5,452.59,6,2,78.9,10,anionic,5.8,2.4
Ajmaline,CC[C@@H]1[C@H](N2[C@H]3CC1C4[C@@H]2CC5([C@H]3N(c6c5cccc6)C)[C@@H]4O)O,4,9.8,0.24,6.8,7.3,326.43,4,2,46.9,1,cationic,1.8,1.5
Albuterol (salbutamol),CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1.9,7.8,0.92,4.1,2.4,239.31,4,4,72.7,4,cationic,0.63,-1.5
Alcuronium,OC\C=C/1\C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1C5=CN6[C@H]7C(=CN([C@H]35)c8ccccc48)[C@H]9C[C@H]%10[C@@]7(CC[N@@+]%10(CC=C)C/C/9=C/CO)c%11ccccc6%11,0.32,1.3,,4.1,3.6,666.89,6,2,46.9,6,neutral,-4.8,-4.8
Alectinib,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,6.35,7.69,0.003,13.77,11.7,482.62,6,1,72.4,4,cationic,5.2,4.9
Alendronate,C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O,0.33,2.6,0.22,2.1,3.1,249.1,8,6,161.3,5,anionic,-3,-8.1
Alfacalcidol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,,0.82,,,48.6,400.64,2,2,40.5,6,neutral,7.3,7.3
Alfentanil,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,0.45,3.9,0.086,1.9,1.6,416.52,9,0,81.1,9,neutral,2.8,2.7
Alfuzosin,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3,1.5,5.9,0.14,4.2,4.8,389.45,9,2,111.8,8,cationic,2.3,1.8
Alinidine,N(c1c(cccc1Cl)Cl)(C=1NCCN1)CC=C,2.72,12,0.4,3.77,3.14,270.16,3,1,27.6,4,cationic,3,1.7
Alizapride,COc1cc2nn[nH]c2cc1C(=O)NCC3CCCN3CC=C,1.6,6.6,,4,2.8,315.37,7,2,83.1,6,cationic,1.9,0.91
Allopurinol,O=C1NC=Nc2[nH]ncc12,0.58,11,0.97,0.88,0.8,136.11,5,2,70.1,0,neutral,-1.3,-1.4
Almitrine,C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1,35.37,0.97,0.01,607,1344,477.55,7,2,69.2,10,neutral,6,6
Almokalant,C(c1ccc(cc1)OC[C@@H](C[N@@](CCC[S@@](=O)CCC)CC)O)#N,1.8,11.3,,2.65,2.4,352.49,5,1,73.6,13,cationic,2,1.4
Almorexant,CNC(=O)C(N1CCC2=C(C=C(OC)C(OC)=C2)[C@@H]1CCC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,9.75,10.2,,15.9,34.3,512.56,5,1,50.8,8,neutral,5.5,5.5
Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,2.2,8.9,0.6,4.2,3.4,335.46,5,1,56.4,6,cationic,1.8,0.63
Alosetron,Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C,1.1,8.7,0.18,2.1,1.6,294.35,5,1,53.9,2,neutral,1.4,1.4
Alpiropride,C1C[N@@]([C@@H](C1)CNC(c1c(cc(c(c1)S(NC)(=O)=O)N)OC)=O)CC=C,2.3,5.47,,7,4.8,382.48,8,3,113.8,8,cationic,0.97,-0.1
Alprazolam,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.8,0.74,0.29,18,12,308.76,4,0,43.1,1,neutral,2,1.9
Alprenolol,CC(C)NCC(O)COc1ccccc1CC=C,3.2,15,0.18,3.6,2.5,249.35,3,2,41.5,8,cationic,2.4,0.64
Alprostadil,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,2.4,45.4,,0.9,1.9,354.48,5,3,94.8,13,anionic,3.5,0.93
Alvimopan,C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O,0.43,5.84,0.2,1.24,5.3,424.53,6,3,89.9,8,zwitterionic,3.1,0.28
Amantadine,NC12CC3CC(CC(C3)C1)C2,6.6,4.8,0.33,23,16,151.25,1,1,26,0,cationic,2.5,-0.43
Amdinocillin,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,0.37,6.3,0.9,1,1.1,325.43,6,1,73.2,3,zwitterionic,2.4,0.068
Amezinium,c1c(cc([n+](n1)c1ccccc1)OC)N,4,5.1,,13,14.1,202.23,4,1,52,2,neutral,-0.75,-0.75
Amifloxacin,c12c(c(c(C(O)=O)cn1NC)=O)cc(F)c(c2)N1CCN(C)CC1,,4.56,,,4.66,334.35,7,2,77.8,3,cationic,2.4,0.2
Amifostine,C(SP(O)(O)=O)CNCCCN,0.09,30.65,,0.05,0.15,214.22,5,4,95.6,7,cationic,-1.4,-3.8
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,0.16,1.1,0.88,2.4,2.4,585.6,18,13,331.9,10,cationic,-9,-9
"Aminocamptothecin, 9-",CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)cccc5nc34)C2=O,2.2,6.5,0.003,5.6,7,363.37,7,2,105.8,1,neutral,1.1,1.1
"Aminohexanoic acid, 6-",NCCCCCC(=O)O,0.39,2.5,0.92,2.6,4.9,131.17,3,2,63.3,5,zwitterionic,0.16,-2.1
Aminolevulinic acid,NCC(CCC(O)=O)=O,0.12,1.88,0.88,1.06,0.83,131.13,4,2,80.4,4,zwitterionic,-2,-2.8
"Aminosalicylic acid, 5-",Nc1ccc(O)c(c1)C(=O)O,0.33,9.3,0.39,0.59,0.61,153.14,4,3,83.6,1,anionic,0.67,-2.6
Amiodarone ,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,60,1.9,0.0002,620,820,645.31,4,0,43,11,cationic,7.5,6.2
Amiprilose,O1[C@H]2[C@@H]([C@H]([C@H]1[C@H](O)CO)OCCCN(C)C)OC(C)(C)O2,1.04,3.48,0.97,5,4.07,305.37,7,2,80.6,7,cationic,-0.32,-2.4
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3ccccc13,8.7,6.1,0.07,24,17,277.4,1,0,3.2,3,cationic,4.6,3.3
Amlodipine,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,17,7,0.005,40,34,408.88,7,2,99.9,10,cationic,2,0.44
Amodiaquine,CCN(CC)Cc1cc(ccc1O)Nc2ccnc3c2ccc(c3)Cl,17.4,217,,1.34,2.1,355.86,4,2,48.4,6,cationic,5.4,2
Amonafide,c12c3C(N(CCN(C)C)C(c1cccc2cc(c3)N)=O)=O,7.33,19.32,,6.34,4.78,283.33,5,1,66.6,3,neutral,1.5,1.3
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.25,3.3,0.85,1.3,1.1,365.4,8,4,133,4,zwitterionic,0.42,-1.3
AMP579,CC[C@H](Cc1c(ccs1)Cl)Nc2c3ccn(c3ncn2)[C@@H]4C[C@@H]([C@H]([C@H]4O)O)C(=O)NCC,0.84,12,0.03,1.18,1.33,478.01,8,4,112.3,8,neutral,2.6,2.6
Amphetamine (-d),c1(ccccc1)C[C@H](C)N,6.1,9.7,0.8,10,7.3,135.21,1,1,26,2,cationic,1.8,-0.64
Amphotericin B,[H]N([H])[C@@H]1[C@@H]([C@@H](O[C@@H]2C[C@H]3[C@H](C(=O)O[H])[C@H](C[C@@](C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@@H](C)[C@H](C)[C@@H]([C@@H](C)C=CC=CC=CC=CC=CC=CC=C2)O[H])O[H])O[H])O[H])O[H])O[H])(O[H])O3)O[H])O[C@H](C)[C@H]1O[H])O[H],0.62,0.17,0.03,61,40,924.08,18,12,319.6,15,zwitterionic,3.1,0.41
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.22,2.8,0.85,1.3,1.4,349.4,7,3,112.7,4,zwitterionic,0.85,-0.85
Amrinone,NC1=CC(=CNC1=O)c2ccncc2,1.3,8.9,0.89,2.4,2,187.2,4,2,68,1,neutral,-0.67,-0.73
Amsacrine,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,1.6,4.3,0.029,6.2,4.7,393.46,6,2,80.3,5,cationic,4,0.85
Amsalog,CNC(=O)c1cccc2c(Nc3ccc(NS(=O)(=O)C)cc3OC)c4cccc(C)c4nc12,0.3,2.6,0.0011,1.9,2.4,464.54,8,3,109.4,6,cationic,3.5,0.63
Amygdalin,O1[C@@H](O[C@@H](c2ccccc2)C#N)[C@@H]([C@@H](O)[C@@H]([C@H]1CO[C@@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO)O)O,0.21,1.88,,1.83,1.23,457.43,12,7,202.3,8,neutral,-3.8,-3.8
Anhydrovinblastine,CCC1=C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,12,12,,17,18,792.96,12,2,133.9,10,cationic,4.8,4.5
Anidulafungin,CCCCCOc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@@H](NC(=O)C(NC(=O)[C@@H]6C[C@@H](O)CN6C(=O)C(NC4=O)[C@@H](C)O)[C@H](O)[C@@H](O)c7ccc(O)cc7)[C@@H](C)O,0.57,0.21,0.16,45,40,1140.24,24,14,377.4,14,neutral,1.6,1.6
Antazoline,c1ccc(cc1)CN(CC2=NCCN2)c3ccccc3,3.9,19.67,,3.45,2.29,265.35,3,1,27.6,5,cationic,2.8,0.28
Antipyrine,CN1N(C(=O)C=C1C)c2ccccc2,0.77,0.64,0.93,20,12,188.23,3,0,23.5,1,neutral,0.19,0.19
Antofloxacin,O=C(C(C(=C(C(=C1F)N(CCN2C)CC2)OC2)N(C3)[C@H]2C)=C1N)C=3C(O)=O,2.42,2.2,0.82,18.3,20.1,376.38,8,2,99.3,2,zwitterionic,1.5,-0.73
Apalcillin,[H]N(C([C@@H](c1ccccc1)N([H])C(c1cnc2cccnc2c1O[H])=O)=O)[C@@H]1C2N(C1=O)[C@@H](C(=O)O[H])C(C)(C)S2,0.16,1.9,0.1,1.4,1.2,521.55,11,4,161.8,8,anionic,1.8,-1.6
Apixaban,N1(CCc2c(C1=O)n(nc2C(=O)N)c1ccc(cc1)OC)c1ccc(cc1)N1CCCCC1=O,0.3,0.8,0.13,,12,459.5,9,1,110.8,5,neutral,2.5,2.5
Apomorphine,c12c3c4c(ccc(c4O)O)C[C@H]1[N@@](CCc2ccc3)C,1.6,40,0.05,0.67,0.68,267.32,3,2,43.7,0,cationic,3,2.1
Apremilast,CCOc1cc(ccc1OC)[C@@H](CS(=O)(=O)C)N2C(=O)c3cccc(c3C2=O)CC(=O)C,,2.38,0.32,,6.03,459.51,8,0,107.1,9,neutral,1.2,1.2
Aprepitant,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,0.94,1,0.05,16,13,534.43,7,2,75.2,6,neutral,4.1,4.1
AR-709,CN(C)C(=O)c1c(c2cc(ccc2[nH]1)Cl)Cc3cc4c(cc(c(c4o3)OC)OC)Cc5cnc(nc5N)N,5.06,7.49,,11.27,44.55,534.99,10,3,145.8,7,neutral,3.5,3.3
Arbekacin,O1[C@H](O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@H]2O[C@@H](CC[C@H]2N)CN)N)NC([C@H](CCN)O)=O)[C@H](O)[C@H]([C@@H]([C@H]1CO)O)N,0.21,1.28,,2.73,2.46,552.62,16,11,297.3,10,cationic,-7.5,-9
Argatroban,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,0.17,5,0.46,0.57,0.4,508.63,11,6,177.7,10,zwitterionic,1.5,-0.84
Aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,4.9,0.83,0.01,98,75,448.39,5,1,44.8,7,cationic,5.2,4.7
Artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,15,1070,0.25,0.32,0.22,384.42,8,1,100.5,5,neutral,3,2.9
Articaine,s1c(C(OC)=O)c(NC([C@@H](C)NCCC)=O)c(c1)C,7.7,126.7,0.46,1.04,0.98,284.37,5,2,67.4,7,cationic,1.9,1.2
Asarone,c1(c(cc(OC)c(c1)OC)OC)\C=C\C,1,8.8,,1.9,3.7,208.25,3,0,27.7,4,neutral,2.7,2.7
Ascorbic acid,[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,0.35,1.05,0.26,5.5,11.4,176.12,6,4,107.2,2,anionic,-3,-5.5
Asenapine,c12c(cccc1)Oc1ccc(cc1[C@@H]1[C@@H]2CN(C1)C)Cl,23,12.4,0.05,30.9,,285.77,2,0,12.5,0,cationic,4.7,3.1
Aspoxicillin,N12[C@@H]([C@@H](NC([C@@H](c3ccc(O)cc3)NC([C@@H](CC(NC)=O)N)=O)=O)C2=O)SC(C)(C)[C@@H]1C(O)=O,0.27,2.82,,1.61,1.45,493.53,12,6,191.2,8,anionic,-1.7,-3.8
Astragaloside IV,CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O,0.12,0.74,0.14,2.78,2.65,784.97,14,9,228.2,6,neutral,-0.048,-0.048
Astromicin,O1[C@@H]([C@@H](CC[C@H]1[C@@H](N)C)N)O[C@@H]1[C@H]([C@@H]([C@H](OC)[C@H](N(C)C(CN)=O)[C@H]1O)O)N,0.23,1.37,,2.8,2,405.49,11,6,192.5,6,cationic,-4.6,-7.7
Asunaprevir,COc1cnc(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5cc(Cl)ccc15,2.77,11.78,0.012,3.92,20,748.29,14,3,182.3,12,anionic,5.5,2.4
Atenolol,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,0.95,2.5,0.94,6.3,6.1,266.34,5,3,84.6,8,cationic,0.35,-1.4
Atipamizole,[nH]1cncc1C1(Cc2c(C1)cccc2)CC,2.7,19.6,,2.3,1.7,212.29,2,1,28.7,2,neutral,2.6,2.4
Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,0.85,9.3,0.02,1.5,5.2,255.35,2,1,21.3,6,cationic,3.6,1.5
Atovaquone,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O,0.6,0.15,0.001,67,63,366.84,3,1,54.4,2,anionic,5.5,3.4
Atracurium,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC,0.1,5.7,0.52,0.29,0.31,929.15,14,0,126.4,26,neutral,1.7,1.7
Atropine,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,3.3,7.6,0.61,7.2,4.1,289.37,4,1,49.8,5,cationic,2.2,0.6
Avarofloxacin,COc1c2c(cc(c1N3CCC/C(=C(/CN)\F)/C3)F)c(=O)c(cn2C4CC4)C(=O)O,1.13,0.78,0.34,24.21,19.64,419.42,7,2,97.8,5,zwitterionic,2.8,0.44
Avibactam,N12C(=O)N([C@H](CC[C@H]1C(=O)N)C2)OS(=O)(=O)O,0.24,2.76,0.93,1.4,1.7,265.24,9,2,130.2,3,neutral,-2.1,-5.6
Avitriptan,CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CCCN3CCN(CC3)c4c(cncn4)OC,0.87,6.44,,2.25,5.26,458.58,9,2,103.4,9,cationic,2.1,1.4
Avosentan,O=S(=O)(c1ncc(cc1)C)Nc1nc(c2ccncc2)nc(c1Oc1ccccc1OC)OC,0.27,0.52,,8.8,7.2,479.51,10,1,125.4,8,anionic,3.5,0.026
Axitinib,CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4,,5,0.004,,4.3,386.47,5,2,70.7,5,neutral,4,4
Azacytidine,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0.47,35,,0.22,0.36,244.2,9,4,141,2,neutral,-3,-3
Azapropazone,CCCC1C(=O)N2N(C1=O)c3cc(C)ccc3N=C2N(C)C,0.12,0.14,0.004,14,17,300.36,6,0,56.2,3,anionic,1.3,0.098
AZD4877,Cc1ccc(cc1)C(=O)N(CCCN)C(c2nc3c(c(ns3)C)c(=O)n2Cc4ccccc4)C(C)C,6.74,5.83,,19,16.3,503.66,7,1,94.1,9,cationic,3.6,1.1
Azelastine,CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,15,9,0.17,27,22,381.9,4,0,35.9,3,cationic,3.8,2.4
Azimilide,CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,13,2.4,0.06,100,79,457.95,8,0,72.9,8,cationic,3.5,2.2
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,33,10,0.88,57,69,748.98,14,5,180.1,7,cationic,2.2,-0.18
