CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
CCN(CC)CCOc1c(I)cc(cc1I)C(=O)c(c(o2)CCCC)c(c23)cccc3,Amiodarone,1.9,25.0,29.0,,60.0,21.0,1.4,,0.0002,0.0001,0.0001,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[NH+](CC)CC)c(I)c1,"InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3/p+1",646.03096624009
c1cccc(c12)CCc3c(cccc3)C2=CCCN(C)C,Amitriptyline,6.1,71.0,,,8.7,11.0,,,0.07,0.11,,,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3/p+1",278.19032618809
Clc1ccccc1C2C(C(=O)OCC)=C(COCCN)NC(C)=C2C(=O)OC,Amlodipine,7.0,122.0,11.0,,17.0,32.0,25.0,,0.005,0.06,0.03,,CCOC(=O)C1=C(COCC[NH3+])[NH2+]C(C)=C(C(=O)OC)C1c1ccccc1Cl,"InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3/p+2",410.15975248418
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)c3ccc(O)cc3,Amoxicillin,3.3,17.0,3.4,,0.25,0.5,0.31,,0.85,0.82,0.66,,CC1(C)S[C@@H]2C(NC(=O)C([NH3+])c3ccc([O-])cc3)C(=O)[NH+]2C1C(=O)[O-],"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9?,10?,11?,14-/m1/s1",365.104541708
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)c3ccccc3,Ampicillin,2.8,19.0,9.1,,0.22,1.1,0.58,,0.85,0.6,0.58,,CC1(C)S[C@@H]2C(NC(=O)C([NH3+])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/p+1/t9?,10?,11?,14-/m1/s1",350.11690354008994
O=c1[nH]cc(cc1N)-c2ccncc2,Amrinone,8.9,,6.0,,1.3,,1.2,,0.89,,,,Nc1cc(-c2ccncc2)c[n-]c1=O,"InChI=1S/C10H9N3O/c11-9-5-8(6-13-10(9)14)7-1-3-12-4-2-7/h1-6H,11H2,(H,12,13,14)/p-1",186.06728545591
O=S(=O)(C)Nc1ccc(c(c1)OC)Nc2c(cccc3)c3nc(c24)cccc4,Amsacrine,4.3,83.0,16.0,,1.6,4.5,2.8,,0.029,0.1,0.081,,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,"InChI=1S/C21H19N3O3S/c1-27-20-13-14(24-28(2,25)26)11-12-19(20)23-21-15-7-3-5-9-17(15)22-18-10-6-4-8-16(18)21/h3-13,24H,1-2H3,(H,22,23)",393.11471246800005
O=S(=O)(C)Nc1ccc(c(c1)OC)Nc2c(cccc3C)c3nc(c24)c(ccc4)C(=O)NC,Amsalog,2.6,66.0,3.7,,0.3,2.0,1.0,,0.0011,0.011,0.0038,,CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12,"InChI=1S/C24H24N4O4S/c1-14-7-5-8-16-21(14)27-23-17(9-6-10-18(23)24(29)25-2)22(16)26-19-12-11-15(13-20(19)32-3)28-33(4,30)31/h5-13,28H,1-4H3,(H,25,29)(H,26,27)",464.15182624799996
O=c1cc(C)n(C)n1-c2ccccc2,Antipyrine,0.64,9.1,6.3,4.6,0.77,0.81,0.09,0.74,0.93,1.0,0.6,0.9083,Cc1cc(=O)n(-c2ccccc2)n1C,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",188.094963004
O=c1nc([nH][nH]1)CN2[C@@H](c3ccc(F)cc3)[C@H](OCC2)O[C@H](C)c4cc(C(F)(F)F)cc(c4)C(F)(F)F,Aprepitant,1.0,18.0,2.6,,0.94,3.2,1.0,,0.05,0.002,0.0009,,C[C@@H](O[C@H]1OCC[NH+](Cc2nc(=O)[n-][n-]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"InChI=1S/C23H19F7N4O3/c1-12(14-8-15(22(25,26)27)10-16(9-14)23(28,29)30)37-20-19(13-2-4-17(24)5-3-13)34(6-7-36-20)11-18-31-21(35)33-32-18/h2-5,8-10,12,19-20H,6-7,11H2,1H3/q-2/p+1/t12-,19+,20-/m1/s1",533.14291161991
[C@@]123[C@H]4O[C@@](OO1)(C)CC[C@H]3[C@H](C)CC[C@H]2[C@@H](C)[C@@H](O4)OC(=O)CCC(=O)O,Artesute,1070.0,212.0,44.0,,15.0,4.0,,,0.25,0.22,0.1808,,C[C@H]1[C@H](OC(=O)CCC(=O)[O-])O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,"InChI=1S/C19H28O8/c1-10-4-5-13-11(2)16(23-15(22)7-6-14(20)21)24-17-19(13)12(10)8-9-18(3,25-17)26-27-19/h10-13,16-17H,4-9H2,1-3H3,(H,20,21)/p-1/t10-,11-,12+,13+,16-,17-,18-,19-/m1/s1",383.17114140391
CC(C)NCC(O)COc1ccc(cc1)CC(=O)N,Atenolol,2.5,69.0,4.4,7.5,0.95,5.4,1.4,,0.94,0.87,0.6485,0.7837,CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)/p+1",267.17031901609
Cc1ccccc1O[C@H](CCNC)c2ccccc2,Atomoxetine,9.3,36.0,7.4,,0.85,4.3,1.4,,0.02,0.11,0.03,,C[NH2+]CC[C@@H](Oc1ccccc1C)c1ccccc1,"InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3/p+1/t17-/m1/s1",256.16959074409
[C@@H]12N(C)[C@@H](CC1)CC(C2)OC(=O)C(CO)c3ccccc3,Atropine,7.6,53.0,,41.0,3.3,23.0,,0.55,0.61,0.77,,0.7779,C[NH+]1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/p+1/t13-,14+,15?,16?",290.17507004809
Clc1ccc(cc1)Cc2nn(c(=O)c(c23)cccc3)C4CCCN(C)CC4,Azelastine,9.0,58.0,50.0,,15.0,1.8,8.1,,0.17,0.1,0.0826,,C[NH+]1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,"InChI=1S/C22H24ClN3O/c1-25-13-4-5-18(12-14-25)26-22(27)20-7-3-2-6-19(20)21(24-26)15-16-8-10-17(23)11-9-16/h2-3,6-11,18H,4-5,12-15H2,1H3/p+1",382.16806652009
OC(=O)[C@@H](C(S1)(C)C)N(C12)C(=O)[C@H]2NC(=O)C(c3ccccc3)NC(=O)N4CCNC4=O,Azlocillin,2.5,,2.8,,0.26,,0.27,,0.65,,,,CC1(C)SC2C(NC(=O)C(NC(=O)[NH+]3CCNC3=O)c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],"InChI=1S/C20H23N5O6S/c1-20(2)13(17(28)29)25-15(27)12(16(25)32-20)22-14(26)11(10-6-4-3-5-7-10)23-19(31)24-9-8-21-18(24)30/h3-7,11-13,16H,8-9H2,1-2H3,(H,21,30)(H,22,26)(H,23,31)(H,28,29)/p+1",462.14418090808994
OS(=O)(=O)N1[C@@H](C)[C@@H](C1=O)NC(=O)/C(=N\OC(C)(C)C(=O)O)c2nc(N)sc2,Aztreom,1.5,15.0,9.4,,0.18,0.41,2.1,,0.4,0.15,0.8,0.53,C[C@H]1C(=NC(=O)C(NOC(C)(C)C(=O)[O-])c2csc(N)n2)C(=O)N1S(=O)(=O)[O-],"InChI=1S/C13H17N5O8S2/c1-5-7(10(20)18(5)28(23,24)25)16-9(19)8(6-4-27-12(14)15-6)17-26-13(2,3)11(21)22/h4-5,8,17H,1-3H3,(H2,14,15)(H,21,22)(H,23,24,25)/p-2/t5-,8?/m0/s1",433.03730159982007
C1=CC(=O)C=C([C@]12C)CC[C@@H]3[C@]2(F)[C@@H](O)C[C@@]4(C)[C@H]3C[C@H](C)[C@]4(O)C(=O)CO,Betamethasone,2.8,5.0,,,1.3,0.68,,,0.36,0.12,0.3,,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h4,6-7,12,15-17,24,26,28H,5,8-11H2,1-3H3/t12-,15-,16-,17-,19-,20-,21-,22-/m0/s1",392.19990224799994
OC(=O)CCNC(=O)c1ccccc1,Betamipron,9.2,17.0,8.0,7.9,0.28,0.23,0.4,0.23,0.17,0.14,0.59,0.28,O=C([O-])CCNC(=O)c1ccccc1,"InChI=1S/C10H11NO3/c12-9(13)6-7-11-10(14)8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,14)(H,12,13)/p-1",192.06661675991
C1CC1COCCc2ccc(cc2)OCC(O)CNC(C)C,Betaxolol,3.4,154.0,20.0,,4.8,12.0,8.2,,0.4,0.54,0.47,,CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1,"InChI=1S/C18H29NO3/c1-14(2)19-11-17(20)13-22-18-7-5-15(6-8-18)9-10-21-12-16-3-4-16/h5-8,14,16-17,19-20H,3-4,9-13H2,1-2H3/p+1",308.22202024009
Cc1cccc(c1)OCC(O)CNCCc2cc(OC)c(OC)cc2,Bevantolol,5.5,,45.0,,0.67,,4.0,,0.015,0.06,0.04,,COc1ccc(CC[NH2+]CC(O)COc2cccc(C)c2)cc1OC,"InChI=1S/C20H27NO4/c1-15-5-4-6-18(11-15)25-14-17(22)13-21-10-9-16-7-8-19(23-2)20(12-16)24-3/h4-8,11-12,17,21-22H,9-10,13-14H2,1-3H3/p+1",346.20128479608996
c1nc[n+](n12)CC(C2)SC([C@@H]3C)=C(C([O-])=O)N([C@H]34)C(=O)[C@@H]4[C@H](O)C,Biapenem,2.5,13.0,4.7,5.5,0.2,0.19,0.21,0.25,0.92,0.96,0.94,,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,"InChI=1S/C15H18N4O4S/c1-7-11-10(8(2)20)14(21)19(11)12(15(22)23)13(7)24-9-3-17-5-16-6-18(17)4-9/h5-11,20H,3-4H2,1-2H3/p+1/t7-,8-,10?,11-/m1/s1",351.11215250809005
O[C@H]1C(=O)O[C@@H](OC2=O)[C@]1([C@]234)[C@](O)(C(C)(C)C)C[C@@H]3OC(=O)C4,Bilobalide,10.0,140.0,,,2.5,10.0,,,,,,,CC(C)(C)[C@]1(O)C[C@@H]2OC(=O)C[C@@]23C(=O)O[C@@H]2OC(=O)C(O)[C@]213,"InChI=1S/C15H18O8/c1-12(2,3)14(20)4-6-13(5-7(16)21-6)10(19)23-11-15(13,14)8(17)9(18)22-11/h6,8,11,17,20H,4-5H2,1-3H3/t6-,8?,11-,13-,14+,15+/m0/s1",326.10016753599996
c1ccccc1C(O)(C(C23)CC(C2)C=C3)CCN4CCCCC4,Biperiden,12.0,68.0,27.0,,12.0,12.0,9.7,,0.097,0.31,0.19,,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,"InChI=1S/C21H29NO/c23-21(19-7-3-1-4-8-19,11-14-22-12-5-2-6-13-22)20-16-17-9-10-18(20)15-17/h1,3-4,7-10,17-18,20,23H,2,5-6,11-16H2/p+1",312.23219100009
CC(C)NCC(O)COc1ccc(cc1)COCCOC(C)C,Bisoprolol,3.7,13.0,7.9,12.0,2.4,1.4,3.5,3.0,0.66,0.85,0.72,0.75,CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,"InChI=1S/C18H31NO4/c1-14(2)19-11-17(20)13-23-18-7-5-16(6-8-18)12-21-9-10-22-15(3)4/h5-8,14-15,17,19-20H,9-13H2,1-4H3/p+1",326.23258492409
Clc1ccccc1C2=NCc(nnc3C)n3c(c24)sc(Br)c4,Brotizolam,2.0,23.0,11.0,13.0,0.75,3.0,6.1,6.5,0.092,0.22,,,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,"InChI=1S/C15H10BrClN4S/c1-8-19-20-13-7-18-14(9-4-2-3-5-11(9)17)10-6-12(16)22-15(10)21(8)13/h2-6H,7H2,1H3",391.9498071
CCCC(O1)O[C@@H]([C@@]12C(=O)CO)C[C@@H]3[C@]2(C)C[C@H](O)[C@H]4[C@H]3CCC=5[C@]4(C)C=CC(=O)C5,Budesonide,20.0,72.0,,,3.9,29.2,,,0.13,0.039,,,CCCC1O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,"InChI=1S/C25H34O6/c1-4-5-21-30-20-11-17-16-7-6-14-10-15(27)8-9-23(14,2)22(16)18(28)12-24(17,3)25(20,31-21)19(29)13-26/h6,8-9,16-18,20-22,26,28H,4-5,7,10-13H2,1-3H3/t16-,17-,18-,20+,21?,22+,23-,24-,25+/m0/s1",430.2355388079999
CCCCN1C(CCCC1)C(=O)Nc2c(C)cccc2C,Bupivacaine,4.3,76.0,32.0,10.0,0.84,2.4,0.7,0.66,0.056,0.23,0.11,0.051,CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,"InChI=1S/C18H28N2O/c1-4-5-12-20-13-7-6-11-16(20)18(21)19-17-14(2)9-8-10-15(17)3/h8-10,16H,4-7,11-13H2,1-3H3,(H,19,21)/p+1",289.22743996809004
CC(C)(C)[C@](O)(C)[C@@H](C1)[C@](OC)(CC2)[C@@H]3Oc(c(O)cc4)c5c4C[C@H]([C@]12[C@]356)N(CC6)CC7CC7,Buprenorphine,19.0,0.05,,,4.9,8.37,,,0.04,,,,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc([O-])c5c4[C@@]3(CC[NH+]1CC1CC1)[C@H]2O5,"InChI=1S/C29H41NO4/c1-25(2,3)26(4,32)20-15-27-10-11-29(20,33-5)24-28(27)12-13-30(16-17-6-7-17)21(27)14-18-8-9-19(31)23(34-24)22(18)28/h8-9,17,20-21,24,31-32H,6-7,10-16H2,1-5H3/t20-,21-,24-,26+,27-,28+,29-/m1/s1",467.303558792
O=S(=O)(C)OCCCCOS(=O)(=O)C,Busulphan,2.4,5.0,19.25,,0.55,0.68,1.0,,1.0,0.91,,,CS(=O)(=O)OCCCCOS(C)(=O)=O,"InChI=1S/C6H14O6S2/c1-13(7,8)11-5-3-4-6-12-14(2,9)10/h3-6H2,1-2H3",246.023180168
C1CCC1CN(CC2)[C@H]([C@]([C@@]234)(O)CCCC3)Cc5c4cc(O)cc5,Butorphanol,41.0,91.2,58.0,,12.0,4.8,8.4,,0.17,0.34,0.3687,,[O-]c1ccc2c(c1)[C@]13CCCC[C@@]1(O)[C@H](C2)[NH+](CC1CCC1)CC3,"InChI=1S/C21H29NO2/c23-17-7-6-16-12-19-21(24)9-2-1-8-20(21,18(16)13-17)10-11-22(19)14-15-4-3-5-15/h6-7,13,15,19,23-24H,1-5,8-12,14H2/t19-,20+,21+/m0/s1",327.21982916800005
n1cn(C)c(c12)c(=O)n(C)c(=O)n2C,Caffeine,1.4,12.5,2.35,3.06,0.63,0.92,0.76,0.83,0.64,0.96,,0.9837,Cn1c(=O)c2c(ncn2C)n(C)c1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",194.08037556
