smiles_r,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_mrt,human_thalf,MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,molecular_weight_smiles_r
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,4.3,7.0,0.014,11.0,9.7,296.4,2.0,2.0,40.5,1.0,3.5,3.5,295.17035355591
C#C[C@]1(OS(=O)(=O)[O-])CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,0.61,1.3,,7.8,9.3,376.47,5.0,2.0,83.8,3.0,1.9,1.8,374.11989196382
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)c1,0.56,11.99,,0.78,5.01,434.49,8.0,3.0,105.6,12.0,4.3,4.3,434.19540531199993
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.77,1.69,0.07,7.55,6.5,393.44,7.0,1.0,74.7,11.0,3.8,3.8,393.16885621599994
C/C(=C\[C@H](C(C)C)[NH+](C)C(=O)C(NC(=O)C1CCCC[NH+]1C(C)C)C(C)(C)C)C(=O)[O-],1.26,0.97,,21.5,17.5,437.62,7.0,2.0,89.9,8.0,4.0,1.4,438.33263330808995
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,11.0,10.0,0.2,18.0,17.0,506.7,7.0,3.0,112.0,2.0,3.9,3.9,506.28144344399993
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,14.4,2.17,0.22,110.6,92.3,507.68,7.0,2.0,109.3,2.0,3.8,3.8,507.2654590319999
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)[O-])[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,0.23,2.55,,1.5,1.8,1131.26,24.0,13.0,388.0,16.0,-1.2,-4.5,1129.5436271799106
C/C=C(\C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)[O-])[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,0.28,1.65,,2.85,2.4,1131.26,24.0,13.0,388.0,16.0,-1.2,-4.5,1129.5436271799106
C/C=C/c1cc(OC)c(OC)cc1OC,1.0,8.8,,1.9,3.7,208.25,3.0,0.0,27.7,4.0,2.7,2.7,208.109944372
C1COC(NC(C2CC2)C2CC2)=[NH+]1,4.5,7.1,0.9,10.6,8.3,180.25,3.0,1.0,33.6,4.0,0.91,-2.2,181.13353958409
C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCC[NH+]=C(N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1,0.36,5.15,,1.2,8.3,723.58,17.0,7.0,229.6,12.0,1.9,1.9,723.2109507720899
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c([O-])cc(CCCCC)cc1[O-],6.69,13.55,,8.23,23.82,314.46,2.0,2.0,40.5,6.0,7.4,7.4,312.21002729581994
C=C(CC(NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)[O-])C(=O)[O-],0.7,3.08,,3.78,8.2,451.44,12.0,5.0,207.3,9.0,0.16,-6.0,449.14586386781997
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,0.26,8.7,,0.5,0.5,303.14,4.0,1.0,63.6,6.0,2.8,-0.46,301.00398777191003
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.25,0.31,,13.29,11.0,416.64,3.0,3.0,60.7,5.0,6.0,6.0,416.32904526799996
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,,0.82,,,48.6,400.64,2.0,2.0,40.5,6.0,7.3,7.3,400.3341306479999
C=C1C=CC=C(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H](C)[C@@H](OC)/C=C/O[C@@]2(C)Oc3c(C)c([O-])c4c(O)c(c5c(c4c3C2=O)NC2(CC[NH+](CC(C)C)CC2)[NH2+]5)NC1=O,9.3,2.4,0.29,65.0,37.0,847.0,15.0,5.0,205.5,5.0,6.3,3.7,847.4487852560899
C=C1CC[C@@H]2[C@](C)(COC(=O)CCC(=O)[O-])[C@H](OC(=O)CCC(=O)[O-])CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,0.13,2.0,,1.0,1.9,532.58,10.0,2.0,153.5,13.0,2.0,-3.7,530.2162944478199
C=C1CC[C@@]2(O)[C@H]3Cc4ccc([O-])c5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,8.2,15.0,0.65,9.1,8.8,339.43,4.0,2.0,52.9,2.0,2.5,2.0,339.18344366
C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)O[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)C[NH3+])O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,1.46,0.75,0.43,32.5,37.8,731.87,13.0,2.0,155.6,4.0,2.1,0.36,732.39535271609
C=CC(=O)[NH+]1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,9.75,16.4,0.03,9.9,5.0,440.5,8.0,1.0,99.2,5.0,4.0,4.0,441.2033504600901
C=CC1=C(C(=O)[O-])[NH+]2C(=O)C(=NC(=O)C(NOCC(=O)[O-])c3csc(N)n3)[C@H]2SC1,0.24,1.0,0.31,3.9,3.2,453.45,12.0,4.0,184.5,8.0,-0.38,-6.7,452.03401336791006
C=CCC1(C(C)C#CCC)C(=O)[N-]C(=O)N(C)C1=O,1.1,12.0,0.27,1.5,1.6,262.3,5.0,1.0,66.5,5.0,1.8,1.7,261.12446598391
C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)[NH+]3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1.2,0.7,0.01,27.0,26.0,804.02,13.0,3.0,178.4,7.0,4.0,4.0,804.4892531000901
C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,2.72,12.0,0.4,3.77,3.14,270.16,3.0,1.0,27.6,4.0,3.0,1.7,270.05592922809
C=CCNc1nc(NCC=C)nc(N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,35.37,0.97,0.01,607.0,1344.0,477.55,7.0,2.0,69.2,10.0,6.0,6.0,478.25252682009
C=CCOc1ccccc1OC[C@H](O)C[NH2+]C(C)C,0.72,7.7,0.19,1.56,1.09,265.35,4.0,2.0,50.7,9.0,2.0,0.24,266.17507004809
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H]([NH+]6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,0.21,3.7,0.54,0.95,1.6,529.77,6.0,1.0,59.0,6.0,0.19,-0.28,530.40726104818
C=CC[N@@+]12CC[C@@]34c5ccccc5[NH+]5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7[NH+](C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,0.32,1.3,,4.1,3.6,666.89,6.0,2.0,46.9,6.0,-4.8,-4.8,668.40683258436
C=CC[NH+]1CCCC1CNC(=O)c1cc2[n-]nnc2cc1OC,1.6,6.6,,4.0,2.8,315.37,7.0,2.0,83.1,6.0,1.9,0.91,315.169524912
C=CC[NH+]1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,2.3,5.47,,7.0,4.8,382.48,8.0,3.0,113.8,8.0,0.97,-0.1,383.17475276409004
C=CC[NH+]1CC[C@]23c4c5ccc([O-])c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,1.7,23.0,0.54,1.2,1.1,327.37,5.0,2.0,70.0,2.0,1.1,0.89,327.147058152
C=CC[NH2+]c1c(O)cc2c(O)c1C=C(C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)N2,2.0,10.18,,3.27,3.0,585.69,11.0,4.0,166.3,7.0,2.9,2.9,586.3122917880899
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,3.2,15.0,0.18,3.6,2.5,249.35,3.0,2.0,41.5,8.0,2.4,0.64,250.18015542809
C=C[C@@H]1C[C@]1(NC(=O)C1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)C[NH+]1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)[N-]S(=O)(=O)C1CC1,2.77,11.78,0.012,3.92,20.0,748.29,14.0,3.0,182.3,12.0,5.5,2.4,747.270476732
C=C[C@@H]1C[NH2+]CC[C@@H]1CCCc1ccnc2ccc(OC)cc12,24.4,26.0,,15.6,12.1,310.43,3.0,1.0,34.1,6.0,4.3,2.0,311.21178990409004
C=C[C@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,2.9,4.0,0.26,12.0,6.6,324.42,4.0,1.0,45.6,4.0,2.9,2.1,325.19105446009
C=C[C@H]1C[NH+]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,1.8,1.9,0.3,16.0,11.0,324.42,4.0,1.0,45.6,4.0,2.9,2.1,325.19105446009
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H]([NH3+])C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,1.32,3.96,0.17,5.53,6.4,507.73,6.0,3.0,109.8,6.0,3.4,0.75,508.3091209920899
C=Cc1c(C)c2[nH]c1=Cc1[nH]c(c(=CCC(=O)OC)c1C)=Cc1[nH]c(c(C)c1CCC(=O)[O-])C=C1[N-]C(=C3C=CC(C(=O)OC)=C(C(=O)OC)[C@@]13C)C=2,0.51,1.73,,4.9,6.06,718.79,12.0,3.0,168.7,12.0,2.3,-3.5,716.2857113998201
C=Cc1c(C)c2[nH]c1=Cc1[nH]c(c(=CCC(=O)[O-])c1C)=Cc1[nH]c(c(C)c1CCC(=O)OC)C=C1[N-]C(=C3C=CC(C(=O)OC)=C(C(=O)OC)[C@@]13C)C=2,0.63,1.6,,6.6,5.6,730.89,12.0,5.0,168.1,12.0,3.4,-0.66,716.2857113998201
C=c1cc(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,0.98,14.0,0.008,1.17,0.83,238.28,3.0,2.0,44.9,1.0,2.2,2.2,238.110613068
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)[O-])C[C@H]2C[C@H]1O,0.37,16.0,0.4,0.39,0.57,360.49,4.0,3.0,77.8,9.0,3.5,0.96,359.22278305190997
CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,16.0,1.9,,140.0,129.0,472.54,10.0,1.0,113.5,5.0,3.1,1.5,473.24079858809006
CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C,0.45,0.5,0.02,15.7,16.6,429.59,3.0,1.0,40.5,3.0,4.8,4.8,429.26677936000004
CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.16,0.007,0.01,367.0,350.0,270.21,4.0,2.0,73.1,3.0,3.9,2.4,270.061612188
CC(=O)C1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2.0,22.0,0.01,1.5,4.7,318.49,2.0,1.0,37.3,1.0,4.0,4.0,318.255880328
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,0.13,0.055,0.015,39.0,29.0,308.33,4.0,1.0,63.6,4.0,2.6,0.2,307.09758253991
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,1.8,39.0,0.51,0.77,1.2,278.31,7.0,0.0,75.5,5.0,0.65,0.65,278.13789043599996
CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c([O-])c2ccccc2oc1=O,0.24,1.28,0.02,3.125,7.22,353.33,7.0,1.0,106.7,6.0,2.5,0.12,352.08266074791
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.16,2.0,1.0,1.3,1.5,821.14,12.0,8.0,199.9,12.0,-2.8,-2.8,820.880323412
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+],1.35,8.33,,2.7,3.05,560.68,14.0,6.0,205.8,23.0,-2.6,-5.8,561.36063894809
CC(=O)NC(CO)C(=O)NC(CC(=O)[O-])C(=O)NC(CCCC[NH3+])C(=O)[NH+]1CCCC1C(=O)[O-],,18.7,,,0.08,487.5,14.0,7.0,228.5,14.0,-3.3,-8.6,487.22782763600003
CC(=O)NC(CS)C(=O)[O-],0.55,3.1,0.17,3.0,5.5,163.19,4.0,2.0,66.4,3.0,-0.53,-3.8,162.02303769591
CC(=O)NC(CSSCC([NH3+])C(=O)[O-])C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(N)=O,1.98,1.67,,19.9,19.05,1048.25,31.0,22.0,557.7,40.0,-8.1,-9.0,1051.5581753443598
CC(=O)NCCCS(=O)(=O)[O-],0.3,3.75,1.0,1.54,3.2,181.21,5.0,2.0,83.5,4.0,-1.7,-5.2,180.03360237991
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0.58,1.8,0.69,5.4,4.5,337.35,7.0,1.0,71.1,4.0,1.1,1.1,337.1437843399999
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1NC(N)=[NH2+],0.23,1.6,0.86,2.4,1.7,332.31,11.0,8.0,198.2,7.0,-3.8,-6.1,332.1331989800001
CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I,0.17,2.7,1.0,1.0,1.3,627.94,6.0,2.0,86.7,3.0,1.4,-1.9,626.77802437991
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,0.26,1.7,1.0,2.6,1.8,613.91,6.0,3.0,95.5,3.0,0.98,-2.3,612.7623743159099
CC(=O)Nc1ccc(C2=N[N-]C(=O)CC2C)cc1,2.38,0.45,0.4,88.0,70.0,245.28,5.0,2.0,70.6,2.0,0.71,0.71,244.10915026791
CC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)cc1,,2.28,0.93,,12.2,266.34,5.0,3.0,70.6,7.0,0.95,-0.84,267.17031901609
CC(=O)Nc1ccc([O-])cc1,1.0,5.0,0.52,3.3,2.5,151.16,3.0,2.0,49.3,1.0,0.76,0.76,150.05605207591
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,13.94,0.8,0.03,304.0,229.0,615.39,9.0,2.0,102.1,5.0,4.6,4.6,615.0778804360001
CC(=O)Nc1nnc(S(N)(=O)=O)s1,0.37,0.65,0.04,9.5,,222.25,7.0,2.0,115.0,2.0,-1.5,-1.6,221.988132052
CC(=O)OC1=C2C(C)[C@@H](OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)[C@@H]3OC(=O)O[C@]3([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)C2(C)C,13.83,8.12,,28.39,30.1,871.92,18.0,3.0,245.8,15.0,3.6,3.6,871.362649364
CC(=O)OC1=C2C(C)[C@@H](OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@@H]4C[C@@]43C1=O)C2(C)C,17.0,10.8,,26.1,33.9,831.9,15.0,3.0,210.3,14.0,3.3,3.3,831.3466053760001
CC(=O)OC1=C2C(C)[C@@H](OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)C2(C)C,3.0,6.4,0.12,7.8,11.0,853.91,15.0,4.0,221.3,14.0,2.9,2.9,853.330955312
CC(=O)OCC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)CC#N)[C@H]2SC1,0.49,3.69,,2.21,2.02,339.32,9.0,2.0,136.8,7.0,-1.5,-4.5,339.05250613600003
CC(=O)OCC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)CSc3ccncc3)[C@H]2SC1,0.13,2.7,0.55,0.8,1.2,423.46,9.0,2.0,125.9,8.0,-0.63,-3.6,423.05587726400006
CC(=O)OCC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)Cc3cccs3)[C@H]2SC1,0.07,1.8,0.22,0.65,0.95,396.44,8.0,2.0,113.0,7.0,0.069,-2.9,396.04497823200006
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)[C@@H](OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,2.1,14.0,0.04,2.5,11.0,807.88,15.0,5.0,224.4,12.0,3.0,3.0,807.3466053760001
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,0.2,1.5,0.09,2.2,1.9,572.86,6.0,0.0,52.6,6.0,-0.36,-0.36,572.4542112401799
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[NH+]1CCCCC1,0.3,4.5,0.25,1.1,1.4,557.83,6.0,0.0,55.8,6.0,3.1,1.6,558.43856117618
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([NH+]3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[NH+]1CC[N+](C)(C)CC1,0.35,3.0,0.98,1.9,1.9,602.89,8.0,0.0,59.1,6.0,-2.1,-2.1,604.49056220836
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)[O-],0.23,0.35,0.02,10.6,9.8,515.7,6.0,2.0,106.9,6.0,5.7,3.3,515.33781280391
CC(=O)O[C@H]1C[C@]2(O)[C@H]3CC[C@H]4C[C@H](O[C@H]5C[C@@H](O)[C@@H](O[C@H]6C[C@@H](O)[C@@H](O[C@H]7C[C@@H](O)[C@@H](O)[C@H](C)O7)[C@H](C)O6)[C@H](C)O5)CC[C@@]4(C)[C@H]3CC[C@]2(C)[C@H]1C1=CC(=O)OC1,0.78,8.7,0.07,72.3,51.6,822.98,15.0,5.0,209.1,9.0,0.93,0.93,822.440171412
CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)[NH+](C)CC[C@@]341,1.31,212.3,,0.1,0.062,369.41,6.0,0.0,65.1,4.0,1.9,1.1,370.16489928809006
CC(=O)Oc1ccccc1C(=O)[O-],0.22,12.0,0.68,0.3,0.26,180.16,4.0,1.0,63.6,3.0,1.6,-1.7,179.03498228391
CC(=O)[C@]1(O)Cc2c([O-])c3c(c([O-])c2[C@@H](O[C@H]2C[C@H]([NH+]4CC4)[C@H](OS(C)(=O)=O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,2.95,23.54,0.006,2.09,7.33,601.62,12.0,3.0,176.7,6.0,1.5,1.4,600.15450535991
CC(=O)[C@]1(O)Cc2c([O-])c3c(c([O-])c2[C@@H](O[C@H]2C[C@H]([NH3+])[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,38.0,24.0,0.076,26.0,16.0,497.49,10.0,5.0,176.6,3.0,1.3,-1.5,496.1613049919099
CC(=O)[NH+](CC[C@@](CC[NH+]1CCCCC1)(C(N)=O)c1ccccc1Cl)C(C)C,2.6,5.43,,7.9,12.0,407.98,5.0,1.0,66.6,9.0,2.9,1.8,409.24850791217995
CC(=O)[NH+]1CC[NH+]([C@H]2CC[NH+](C(=O)[NH+](C)[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,2.77,3.07,1.0,15.04,15.6,616.61,6.0,0.0,47.1,4.0,5.4,5.4,620.2939297083599
CC(=[NH2+])N1CC[C@H](Oc2ccc(C(Cc3ccc4ccc(C(N)=[NH2+])cc4c3)C(=O)[O-])cc2)C1,1.55,1.86,,14.4,24.02,444.53,7.0,4.0,123.5,8.0,3.8,-1.3,445.22341720809004
CC(=[NH2+])N1CC[C@H](SC2=C(C(=O)[O-])[NH+]3C(=O)C([C@@H](C)O)[C@H]3C2)C1,0.19,2.6,,1.2,0.96,339.41,7.0,3.0,104.9,5.0,0.18,-2.1,340.13255360408994
CC(C(=O)[O-])c1ccc(C(=O)c2ccccc2)s1,0.08,0.62,0.015,2.3,2.1,260.31,3.0,1.0,54.4,4.0,2.7,-0.53,259.04343879191003
CC(C(=O)[O-])c1ccc(C(=O)c2cccs2)cc1,0.04,0.76,0.006,0.88,2.1,260.31,3.0,1.0,54.4,4.0,2.7,-0.31,259.04343879191003
CC(C(=O)[O-])c1ccc(N2Cc3ccccc3C2=O)cc1,0.12,0.65,0.01,2.7,2.11,281.31,4.0,1.0,57.6,3.0,2.4,-0.59,280.09791688791
CC(C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.22,0.51,0.001,7.2,9.9,273.71,3.0,2.0,53.1,2.0,4.0,0.95,272.04837985191006
CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,0.13,1.6,0.008,1.4,2.1,254.28,3.0,1.0,54.4,4.0,2.9,-0.072,253.08701785591
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,0.1,0.6,0.02,2.8,2.24,242.27,3.0,1.0,46.5,4.0,3.2,0.48,241.08701785591
CC(C(O)c1ccc([O-])cc1)[NH+]1CCC(Cc2ccccc2)CC1,18.99,64.57,,4.9,4.32,325.44,3.0,2.0,43.7,5.0,3.6,1.8,325.20417910400005
CC(C)(C(=O)[O-])c1ccc(C(=O)CCC[NH+]2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,0.41,0.4,0.05,16.7,9.8,499.64,5.0,1.0,66.8,11.0,5.9,3.0,499.272258664
CC(C)(C)C(NC(=O)C(CC1CCCC1)CN(O)C=O)C(=O)[NH+]1CC[NH+](Cc2ccc3c(c2)OCO3)CC1,1.1,3.1,0.2,5.9,9.4,530.66,10.0,2.0,111.6,9.0,2.1,2.1,532.32498796818
CC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC2OC(=O)C(O)C231,2.5,10.0,,4.0,3.2,326.3,8.0,2.0,119.4,0.0,-3.4,-3.4,326.10016753599996
